"description","neighborhood_overview","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","amenities","price","minimum_nights","maximum_nights","has_availability","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","reviews_per_month"
"","","within an hour","100%","100%","f","",1,1,"t","t","Beacon Hill-Cyrville",NA,45.41607,-75.60302,"Room in hotel","Private room",12,NA,NA,5,"[""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Private entrance"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Lockbox"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Dedicated workspace""]","$195.00",1,10,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",1,0,1,NA
"Centrally located downtown - steps from ByWard market.<br />500m from the University campus <br />500m from Rideau centre <br />Minutes from gatineau Park <br />Bus stops at the door","Downtown Ottawa <br />Rideau street","within a few hours","88%","100%","f","Lower Town",1,1,"t","f","Rideau-Vanier",NA,45.42823,-75.68443,"Private room in apartment","Private room",2,NA,1,1,"[""Gym"", ""Essentials"", ""TV"", ""Washer"", ""Dryer"", ""Wifi"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Hot water"", ""Hangers"", ""Elevator"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm""]","$50.00",10,31,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",1,0,1,NA
"This brand new and uniquely designed apartment is a short walk from Ottawa's best restaurants, shops, and entertainment in the Byward Market. While located in the heart of downtown Ottawa, this apartment is tucked away in a residential and family filled neighborhood.<br /><br />The unit features two large bedrooms, a kitchen, a dining area, and three 55” smart TVs. It’s spacious living room also boasts a sofa bed. The kitchen is fully equipped for cooking, and even features complimentary coffee.<br /><br />Should you drive in, a paid parking lot can be found just a 2 minute walk away for the low price of $10/day.<br /><br /><b>The space</b><br />This modern 2-bed apartment is brand new, with air conditioning/heating, new furniture, a fully equipped kitchen, and a stylish bathroom. You'll enjoy all the comforts of home while enjoying  the benefits of being in such a central downtown location.<br /><br />The Queen beds and the sofa bed are very comfortable and the 55"" smart TVs come with","The apartment is minutes away from the Byward Market, with easy access to all major downtown attractions as well as Ottawa's finest restaurants, coffee shops, museums, and art galleries. <br /><br />Nearby attractions include Parliament Hill, Rideau Center, Rideau Canal, Little Italy, China Town, all of the Museums (Canadian War Museum, National Gallery, Canadian Museum of Nature, Canadian Museum of Science and Technology, Canadian Museum of History, and the Canadian Museum of Space and Aviation), Commissioner's Park, Dows Lake Pavillion, several hiking trails, the waterway (popular for kayaking), and Gatineau.<br /><br />There's also Nordique spa, which is a 20-minute drive in Chelsea, Quebec. It is absolutely beautiful with thermal baths and spas. I'd highly recommend it if you're able to go!","within an hour","100%","100%","f","Centretown West",0,0,"t","t","Rideau-Vanier",NA,45.4315,-75.68711,"Entire apartment","Entire home/apt",5,NA,2,2,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Refrigerator"", ""Iron"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Smart lock"", ""Stove"", ""Paid parking off premises"", ""Room-darkening shades""]","$79.00",1,365,"t",7,7,4,"2020-12-06","2021-01-31",91,9,10,9,9,10,8,"t",19,19,0,3
"Spacious 4 bed, 2 bathroom bungalow located in a family friendly area <br />Fully renovated, large home perfect for families<br /><br /><b>The space</b><br />Highlighted features: <br />-fully renovated <br />-1 parking spot <br />-wifi <br />-spacious lay out <br />-outdoor backyard space <br />-dishwasher, washer dryer <br />-3 double beds, 1 single <br />-free street parking for additional cars <br />-self check in<br /><br /><b>Guest access</b><br />Private apartment (main floor) located in a bungalow. Private entrance","","within an hour","99%","92%","f","Downtown",67,67,"t","t","Bay",NA,45.34745,-75.80071,"Entire apartment","Entire home/apt",7,NA,4,4,"[""Wifi"", ""Bed linens"", ""Garden or backyard"", ""Free street parking"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Lockbox"", ""Dishes and silverware"", ""Luggage dropoff allowed""]","$80.00",7,365,"t",1,1,0,"2021-01-10","2021-01-10",80,8,8,10,10,10,10,"f",65,58,7,0.86
"1 bedroom in a shared apartment for sublet<br /><br />$940 a month (everything included, fully furnished)<br /><br />2 min walk to Uottawa campus<br />10 min to parliament hill<br /><br />Please message for details & more photos<br /><br />MESSAGE BEFORE BOOKINGS PLS","","N/A","N/A","N/A","f","Centretown",0,0,"t","f","Somerset",NA,45.41938,-75.6891,"Private room in apartment","Private room",1,NA,1,NA,"[""Gym"", ""TV"", ""Washer"", ""Dryer"", ""Wifi"", ""Refrigerator"", ""Bathtub"", ""Microwave"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Hot water"", ""Hangers"", ""Ethernet connection"", ""Air conditioning"", ""Kitchen"", ""Dedicated workspace""]","$940.00",90,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",1,0,1,NA
"Spacious private bungalow includes two huge driveways (can fit 10+ cars). For short term rental. Great for families. Located in a good neighborhood across from a playground park. Feel free to bring your own beds and furniture. Please do not mind the mess in the pictures as they were taken during the moving day. <br /><br />What is included with the rental:<br />-Kitchen appliances<br />-Kitchen dining table<br />-Sofa set<br />-Washer and dryer machines <br />-Hot/cold water<br />-Heat<br />-Wifi <br /><br /><br />The garage is not included.","","within a day","50%","N/A","f","Cummings",0,0,"t","f","Rideau-Rockcliffe",NA,45.43861,-75.64156,"Entire bungalow","Entire home/apt",6,NA,4,0,"[""Wifi"", ""Indoor fireplace"", ""Refrigerator"", ""Bathtub"", ""Kitchen"", ""Heating"", ""Microwave"", ""Private entrance"", ""Long term stays allowed"", ""Hangers"", ""Smoke alarm"", ""Ceiling fan"", ""Carbon monoxide alarm""]","$95.00",30,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",1,1,0,NA
"Bright, clean and very well maintained. The condo is perfect for a relaxing stay or for work trips. The bedroom has a desk to complete some work along with plenty of closet space. Central location with easy access to public transit (3 minute walk to the new LRT Cyrville station). 10 minute drive to downtown. Only a few blocks away from St. Laurent Shopping Centre. Access to a beautiful green area in front of the building. Free parking available upon request prior to arrival.<br /><br /><b>The space</b><br />The condo is a cozy main level modern apartment. Clean and tidy perfect for those needing a quiet place for work or to relax. High speed internet is available at all times and the TV is connected to Chrome Cast.<br /><br /><b>Guest access</b><br />As a guest in this beautiful home you will have access to the bedroom and washroom, kitchen with Nespresso coffee, living room and balcony. The condo is fully equipped and will make you feel right at home.<br /><br /><b>Other things to not","10 minute walk to grocery store, 10 min walk to the mall. Large open green space in front of building. Close to Aviation Parkway perfect for walks and runs.  Multiple bars and restaurants in the area.  Close to CMHC, La cite, Montfort hospital and CSIS.","within an hour","100%","100%","f","",3,3,"t","t","Beacon Hill-Cyrville",NA,45.42595,-75.62788,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Coffee maker"", ""Hot water kettle"", ""Hair dryer"", ""Wifi"", ""Wine glasses"", ""Conditioner"", ""Microwave"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Garden or backyard"", ""Refrigerator"", ""Body soap"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Toaster"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Freezer"", ""Single level home"", ""Bathtub"", ""Patio or balcony"", ""Nespresso machine"", ""Baking sheet"", ""Pour-over coffee"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Cleaning products"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Smart lock"", ""Stove"", ""Oven"", ""Dishwasher"", ""Clothing storage: dresser and closet"", ""Room-darkening shades""]","$121.00",7,29,"t",2,2,1,"2020-12-06","2021-01-19",90,10,10,10,10,10,10,"f",1,1,0,0.86
"cozy and warm","","within an hour","70%","95%","t","Byward Market - Parliament Hill",0,0,"t","t","Rideau-Vanier",NA,45.42824,-75.69407,"Private room in apartment","Private room",6,NA,1,1,"[""Essentials"", ""Wifi"", ""Private entrance"", ""Heating"", ""Air conditioning"", ""Lock on bedroom door""]","$50.00",1,1,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",2,0,2,NA
"Warm and Cozy","","within an hour","70%","95%","t","Byward Market - Parliament Hill",0,0,"t","t","Rideau-Vanier",NA,45.43002,-75.69398,"Private room in apartment","Private room",6,NA,1,1,"[""Essentials"", ""Wifi"", ""Private entrance"", ""Heating"", ""Air conditioning"", ""Lock on bedroom door""]","$50.00",1,1,"t",1,1,0,"2020-11-22","2020-11-22",100,10,10,10,10,10,10,"f",2,0,2,0.36
"Located in Ottawas trendiest neighborhood, the views from this sleek and stylish apartment speak for themselves.<br /><br /><b>Guest access</b><br />You have access to the whole apartment!","","a few days or more","30%","67%","f","Centretown",0,0,"t","t","Somerset",NA,45.41179,-75.69942,"Entire apartment","Entire home/apt",4,NA,1,2,"[""Gym"", ""Hair dryer"", ""Wifi"", ""Hot tub"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Pool"", ""Shampoo""]","$134.00",1,1125,"t",1,1,1,"2021-01-17","2021-01-17",100,10,10,10,10,10,10,"f",2,2,0,1
"Welcome to my home. This modern studio apartment is centrally located with easy access to downtown and tucked away in a residential and family filled neighborhood.<br /><br />This unit features a living area, a kitchenette, a dining area and a laptop friendly workspace. Its modern living area has a King bed and a 55"" smart TV. The kitchenette is fully stocked for cooking, and complimentary coffee is provided.<br /><br /><b>The space</b><br />This studio apartment is newly renovated, with new furniture, a fully stocked kitchenette, and an upgraded bathroom. You'll enjoy top of the line appliances and all the comforts of home while enjoying  the benefits of being in such a central location.<br /><br />The King bed is very comfortable and the 55"" smart TV comes with Netflix preloaded. We also have high-tech digital locks for peace of mind.<br /><br />We offer on-site free parking on the laneway.<br /><br /><b>Guest access</b><br />You'll have complete access to the apartment.<br /><br /><","The apartment is in the west/central part of Ottawa, and a 15-20 minute drive to all major downtown attractions as well as Ottawa's finest restaurants, coffee shops, museums, and art galleries. <br /><br />Nearby attractions include Parliament Hill, Rideau Center, Byward Market, Rideau Canal, Little Italy, China Town, all of the Museums (Canadian War Museum, National Gallery, Canadian Museum of Nature, Canadian Museum of Science and Technology, Canadian Museum of History, and the Canadian Museum of Space and Aviation), Commissioner's Park, Dows Lake Pavillion, several hiking trails, the waterway (popular for kayaking), and Gatineau.<br /><br />There's also Nordique spa, which is a 30-minute drive in Chelsea, Quebec. It is absolutely beautiful with thermal baths and spas. I'd highly recommend it if you're able to go!","within an hour","100%","100%","f","Yonge Eglinton",1,1,"t","t","College",NA,45.34864,-75.76977,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Single level home"", ""Private entrance"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Smart lock"", ""Stove"", ""Paid parking off premises"", ""Room-darkening shades""]","$58.00",1,365,"t",8,8,3,"2020-11-26","2021-01-22",93,10,9,10,10,10,9,"t",12,12,0,3
"Beautiful, contemporary 1 bedroom condominium on the 10th floor of the Luxury Condominium High-rise located at the corner of York and Cumberland. This central location is within walking distance to shops, restaurants and government and business offices. Perfect for the professional who desires a residence in the downtown Ottawa business locale. <br /><br /><br />The Building also features: fitness room, common lounge area, Patio and BBQ","","within a day","100%","100%","f","ByWard Market",2,2,"t","t","Rideau-Vanier",NA,45.43064,-75.68744,"Entire condominium","Entire home/apt",2,NA,1,1,"[""Gym"", ""Essentials"", ""TV"", ""Free street parking"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Shampoo"", ""Long term stays allowed"", ""Hot water"", ""Hangers"", ""Dishes and silverware"", ""Elevator"", ""Smoke alarm"", ""Air conditioning"", ""Kitchen""]","$70.00",30,365,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",1,1,0,NA
"Location, location! Beautifully decorated, spacious condo in the heart of Golden Triangle. Master bedroom with King bed,  ensuite and TV. Second bedroom with Queen bed.  Unit includes fully-equipped kitchen, dishwasher, washer/dryer, and AC. Relax in front of the fireplace, watch cable TV or Netflix.  Enjoy fresh air in the large covered balcony - a quiet respite from the buzz of Elgin St. Steps away from restaurants, stores, coffee. 10 min walk to Parliament, Rideau Centre, UOttawa and O-train.<br /><br /><b>The space</b><br />Quiet, secure, comfortable condo. Spacious bedrooms, large dining room, inviting living room, and great kitchen. The balcony is a great place to unwind after a long day of meetings or exploring our beautiful Capital.<br /><br /><b>Guest access</b><br />You will have access to the entire property, including all bedrooms and bathrooms. For your convenience, the condo has in-unit washer and dryer.<br /><br /><b>Other things to note</b><br />This is a great condo cl","The Golden Triangle is right in the middle of all the highlights of Ottawa.  Amazing restaurants, local coffee shops, two grocery stores nearby. A handy pharmacy, boutique shops, and delicious pastries await you on Elgin Street. 10 min leisurely stroll to Parliament Hill, Rideau Centre, Major's Hill Park, and the Byward Market. 10 mins away drive from the train station, and 15 mins drive to the airport.","within a few hours","100%","67%","f","Centretown",1,1,"t","f","Somerset",NA,45.41888,-75.68856,"Entire condominium","Entire home/apt",4,NA,2,2,"[""Gym"", ""Coffee maker"", ""Hair dryer"", ""Cable TV"", ""Wifi"", ""Microwave"", ""Conditioner"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Ethernet connection"", ""Refrigerator"", ""Body soap"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Laundromat nearby"", ""Smoke alarm"", ""Portable fans"", ""Fire extinguisher"", ""Keurig coffee machine"", ""Essentials"", ""Washer"", ""Dryer"", ""Freezer"", ""Bathtub"", ""Patio or balcony"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""TV"", ""Pocket wifi"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Paid parking off premises"", ""Dishwasher"", ""Room-darkening shades""]","$140.00",3,65,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",1,1,0,NA
"","","within an hour","99%","91%","t","Byward Market - Parliament Hill",0,0,"t","t","River",NA,45.37485,-75.73292,"Entire apartment","Entire home/apt",2,NA,1,1,"[""Essentials"", ""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Kitchen"", ""Heating"", ""Free parking on premises"", ""Long term stays allowed"", ""Lockbox"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Dedicated workspace""]","$74.00",1,365,"t",11,11,0,"2020-11-29","2021-01-10",93,9,9,10,10,10,10,"f",9,9,0,4.29
"This basement apartment has nice big windows, keeping the space bright and charming. Near downtown and a beautiful neighbourhood to explore. Fenced in backyard space, surrounded by trees to enjoy in the summer.<br /><br /><b>The space</b><br />The space is shared with me, but most of the time I’m working. My home is clean and tidy always and you are free to use anything as needed. Great neighbourhood and one bus ride to downtown. A quick drive/Uber ride to the beautiful Byward Market and Parliament Hill. Central to multiple walk/bike paths along the water, restaurants and shopping.<br /><br />**The living room had a sofa bed who could fit 2 children or 1 adult. It’s bigger than a single but would be small for 2 adults.<br /><br /><b>Guest access</b><br />Guests can access the entire apartment other than the master bedroom and the upstairs apartment.<br /><br /><b>Other things to note</b><br />Let me know if you have any requests and I will accommodate as best I can.","This is a great neighbourhood with beautiful sights to see around. Don’t hesitate to ask for recommendations.","within a day","71%","75%","f","",1,1,"t","f","Rideau-Vanier",NA,45.43949,-75.66897,"Private room in bungalow","Private room",3,NA,1,2,"[""Essentials"", ""TV"", ""Free street parking"", ""Hair dryer"", ""Wifi"", ""Bed linens"", ""Iron"", ""Heating"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Extra pillows and blankets"", ""Cooking basics"", ""Smoke alarm"", ""Luggage dropoff allowed"", ""Portable fans"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Garden or backyard""]","$56.00",1,6,"t",2,2,0,"2021-01-10","2021-01-13",100,10,10,10,10,9,10,"f",1,0,1,1.71
"Welcome to our cozy home in Ottawa West Centertown! <br />We can answer your questions in English, French, Mandarin, Cantonese and Serbo-Croatian.<br />Ideal home for newcomers to stay monthly before finding your own place in Ottawa. 2.3km away from Service Canada/ Ontario/City of Ottawa <br />As three boys hockey parents, we know what travel means! This place will make you feel like home. <br /><br />欢迎您来到我们渥太华舒适的家， 我们可以用英法语，粤语，国语和克罗地亚语回答您的问题。<br />非常适合新移民安家前拎包月租暂住，这里离办理各种政府证件的服务点只有2.3公里。 <br />作为三个冰球娃的父母，我们深知出门在外的不便，我们的家就是您的家。<br /><br /><b>The space</b><br />This duplex has been newly renovated, two bedrooms, one bath, kitchen and In-Unit laundry on each floor with private entrance! Driveway can fit in 3 mid-size SUV. <br />Few minutes walking to grocery stores, restaurants, pharmacies and public transit station. 350m away from main street of Chinatown, 500m away from Little Italy. Route 11 & 14 can take you to the Parliament Hill and downtown Ottawa. 550 m to reach westbound 417 hi","","within an hour","100%","100%","f","Centretown West",1,1,"t","t","Somerset",NA,45.4069,-75.70683,"Entire house","Entire home/apt",4,NA,2,2,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Conditioner"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Free street parking"", ""Refrigerator"", ""Body soap"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Patio or balcony"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Rice maker"", ""Dishes and silverware"", ""Stove"", ""Luggage dropoff allowed"", ""Room-darkening shades""]","$129.00",2,365,"t",1,1,0,"2020-12-22","2020-12-22",100,10,10,10,10,10,10,"t",1,1,0,0.56
"","","within a few hours","100%","100%","f","",2,2,"t","t","Gloucester-South Nepean",NA,45.26819,-75.73283,"Private room in house","Private room",2,NA,1,1,"[""Essentials"", ""TV"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Wifi"", ""Kitchen"", ""Heating"", ""Iron"", ""Free parking on premises"", ""Shampoo"", ""First aid kit"", ""Hot water"", ""Long term stays allowed"", ""Smoke alarm"", ""Breakfast"", ""Lock on bedroom door"", ""Carbon monoxide alarm""]","$120.00",1,365,"t",6,6,1,"2020-12-03","2021-01-24",100,10,10,10,10,10,10,"f",2,0,2,2.47
"This $3.5 Million custom property was recently renovated with style, privacy and entertaining in mind. Whether you are looking for an intimate getaway for 2 or a multifamily retreat, 12 Lodge is the place. You have access to the 3 upper floors including gym, private beach, water sports, theatre, piano, cigar room, etc... Book your stay, then contact us to help plan activities and meals to suit you and your guests needs. The only problem you will have is not wanting to go home! <br />DOGS R WELCOME!!!<br /><br /><b>The space</b><br />Newly renovated transitional design with wall to wall windows. Includes gourmet kitchen and spa like bathrooms<br /><br /><b>Guest access</b><br />Huge front driveway and a massive fenced in backyard<br /><br /><b>Other things to note</b><br />You will fall in love with the property but it's not for sale!!!","THE LODGE is locate on the edge of a established community inside the city limits. The location tranquil and private, while providing all the amenities you would expect in the city...even Uber Eats","within an hour","93%","88%","t","",2,2,"t","t","Gloucester-South Nepean",NA,45.2604,-75.70951,"Entire house","Entire home/apt",14,NA,6,10,"[""Gym"", ""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Breakfast"", ""Microwave"", ""Bed linens"", ""BBQ grill"", ""Garden or backyard"", ""Free street parking"", ""Refrigerator"", ""Beach essentials"", ""Iron"", ""Free parking on premises"", ""First aid kit"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Host greets you"", ""Washer"", ""Dryer"", ""Private entrance"", ""Bathtub"", ""Patio or balcony"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Waterfront"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$3,111.00",2,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",2,2,0,NA
"<b>Other things to note</b><br />we ask guests who come directly from other countries have to be quarantined for 14 days before booking our place.","","within a few hours","100%","100%","f","",3,3,"t","f","Beacon Hill-Cyrville",NA,45.46337,-75.59984,"Private room in house","Private room",1,NA,1,1,"[""Long term stays allowed""]","$40.00",1,365,"t",2,2,1,"2020-12-19","2021-02-06",90,9,10,9,10,7,8,"t",2,0,2,1.05
"Easy living in this freshly remodeled bungalow. Located on a very quiet street in Manordale. Perfect for families and business travelers who might appreciate very private accommodations. Get cozy by the fireplace this winter and enjoy perusing what the Bell Fibe Alt TV has to offer.","","within an hour","100%","88%","t","",4,4,"t","t","Knoxdale-Merivale",NA,45.32581,-75.7672,"Entire bungalow","Entire home/apt",6,NA,3,4,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Conditioner"", ""Bed linens"", ""Extra pillows and blankets"", ""Shower gel"", ""Garden or backyard"", ""Free street parking"", ""Keypad"", ""Refrigerator"", ""Body soap"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Freezer"", ""Private entrance"", ""Bathtub"", ""Patio or balcony"", ""Single level home"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher"", ""Room-darkening shades""]","$125.00",3,365,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"f",3,3,0,NA
"Newly renovated, modern and bright basement bachelor suite. This is a private unit in a multi-dwelling home. Within walking distance to the Children's Hospital and the General Hospital and is a perfect accommodation for visiting hospital professionals. We have free street parking available directly in front of the house with no restrictions.<br /><br /><b>The space</b><br />The studio suite is a gorgeous, open concept, newly renovated space. Located in a multi-dwelling private home in a residential neighborhood. Features large pull-out sectional couch and separate desk area.","","within an hour","100%","100%","f","Urbandale",0,0,"t","f","Alta Vista",NA,45.38971,-75.62212,"Entire guest suite","Entire home/apt",4,NA,NA,2,"[""Coffee maker"", ""Hair dryer"", ""Wifi"", ""Microwave"", ""Extra pillows and blankets"", ""Free street parking"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hangers"", ""Cooking basics"", ""Laundromat nearby"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Private entrance"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""TV"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Stove"", ""Oven"", ""Dishwasher""]","$70.00",2,1125,"t",1,1,0,"2020-12-19","2020-12-19",100,10,10,10,10,10,10,"f",1,1,0,0.53
"SANITIZED AND QUARANTINE READY<br /><br />Modern, clean, and updated large 5 bedroom home located in an established Stittsville / Kanata neighbourhood.<br /><br />Home has a large yard, a 2 car garage and ample driveway parking for up to 6 additional vehicles.<br /><br /><b>The space</b><br />Features:<br />-***Main level private ensuite bedroom/ in-law suite***: Located on the main level is the first room, currently used as an office, but could be used as a main level bedroom and private ensuite bathroom (full 3 piece bath).<br /><br />- Additional powder room<br /><br />- Open concept living / dining room leading into the open kitchen and family/Great room<br /><br />- Marble floor entrance and hardwood throughout<br /><br />- 9 ft ceilings, in-ceiling speakers, potlights, and motion sensored lights in bathrooms (a true technology lovers' dream home)<br /><br />- On the 2nd level are 4 large bedrooms, 3 of which have walk-in closets, a full bathroom and laundry room.<br /><br />- The","Family friendly, well established neighbourhood in Stittsville, a suburb in Ottawa, with parks, bike and hike trails, malls, department stores, Centrum and Tanger outlet malls as well as the Canadian Tire centre hockey arena nearby.<br /><br />Those those interested in going for walks/hikes, I suggest the immediate neighbourhood as well as surrounding conservation areas.","within an hour","100%","100%","f","Stittsville",0,0,"t","t","Stittsville-Kanata West",NA,45.24885,-75.90186,"Entire house","Entire home/apt",10,NA,4,5,"[""Hair dryer"", ""Wifi"", ""Microwave"", ""Bed linens"", ""BBQ grill"", ""Extra pillows and blankets"", ""Shower gel"", ""Children\u2019s books and toys"", ""Ethernet connection"", ""Garden or backyard"", ""Keypad"", ""Refrigerator"", ""Iron"", ""Free parking on premises"", ""Hot water"", ""Hangers"", ""Cooking basics"", ""Smoke alarm"", ""Fire extinguisher"", ""Essentials"", ""Washer"", ""Dryer"", ""Private entrance"", ""Bathtub"", ""Patio or balcony"", ""Baking sheet"", ""Air conditioning"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dedicated workspace"", ""Cleaning before checkout"", ""TV"", ""Indoor fireplace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Dishes and silverware"", ""Barbecue utensils"", ""Stove"", ""Oven"", ""Dishwasher""]","$219.00",4,1125,"t",0,0,0,"","",NA,NA,NA,NA,NA,NA,NA,"t",1,1,0,NA
